"recipeNO";"recipeName";"categoryNo";"instructions";"qtyPerRecipe";"estPrepTime";"estCookTime";"qtyOnHand";"stdSellingPrice"
461;"ge";47;"XwnIM$P6q##kzU[S!xJi([z%HEDIgrMVxe94dH)lC7b^fnbvzEzUL%]gtxYGAiv[vy%lhkeFG0C8XV8MATh8u3BprLaK1fA0kzQE)mi6^Ou!C)&zzXgEGQa38C70b%CukfihR[gH1KILx)kUVv8KF8";20;60;88;759;72.44
462;"woum";14;"fBy4##m#GL9E#Cum3XymEfb(z(sjz2d(XPi[w!tPsxa@3RJId3ZI]YRCu2$5z^E(XTK7)ZyoO(vScDsm1*o[s1im[Gh%B8(bmopflkhS7KuE3QSIDNNOSJSmEYrs1S$dSL0X9qE*5m5nj3Z88%DEs!";49;10;63;568;474.9
463;"jel";40;"V#(g3h$(23N5R*^Bw2nntIAFZ4[9CUwSDVrYR*ZwgBmB$n2aL4M9k&LTDFSvlxOvHp&k)^MVX8n^m&t3$ieueb**pkt!pXmH6BI(vTofsmkQi()EAD8Izqecq[8#cD6Xr2jjWm3HS7[h@9CAu@jesb";22;36;91;865;42.48
464;"lomrilpec";56;"63F[UjABNBy%Y2F93dktgoozY#(qB0U(5QDr]JeT5Nq&H97k6[2F1^*rod9MptDf96&QGUy#)PD52#UY&o$pz14$KJumjQQxK4Y%kpx2]7A7rXL)^60DoRUwfuiL*cV0kjxFd5Oest9MuLD^]X8lw%";40;6;33;525;79.1
465;"nuchoriv";101;"9Ndxn$uJdqu^OHgnSo(r&rT*9MdLk#wg7yB%gTJKD3M%RVh$7yGbz!y6U4(Apa35H!QxJp&iD[WO@(&MxCxc1DuMe1FG0YuBeeRBNG!yAk@IR7@$#KvToAhX&qZcpQOEq![FWxqU9E9Gzf[^!oF91y";45;52;51;899;110.83
466;"copurduj";34;"k7eIYEmuD1)$&xbDy113nYlXQj&S[h*(vX$J@gr7MnaU770@Ymxlk)xpJ6$54r4iYxroJ3*sk5tpt1p6cxX)p[aRdEqjibPCGRpy@Y8ztG#ORwGwAu1xLWQt9TRgHZpnRs0b57j]JsGWBz(g4*X7]R";27;52;79;724;212.34
467;"ihwocpa";88;"B%FC@paqO[C$O41OFjIe^tWH5XYc2kLhFu%sXjmxRLQDg95#RIx^R%aP73UM8WWlT6me9ERAS9Y)QnUO09LkVjg]mo5w*nah[R(6uVS8^l&)A%ocMfu!T5BzjLgRHZY!l(^r3i2fBVM9BZsP$6jmpU";29;50;90;414;122.8
468;"go";75;"qr40A6M]L0dn*QESj!2Gwd(N$GOAAoi0&@T9$jjhZT)odrY!pXr!x@tQ$WQ[NMEghiIKwcu7f[IIjvrwLD&%N[vEJv(@n!(K82@qsDWsZ*mOU@7dG#e9caVujsa0@!QC@q8JJ(%1fPh%inn5(x7^uP";47;42;69;370;456.22
469;"fazeca";10;"[z8MRmXJPgvrreknQ$bWE)jF(4Nc%nSCy5eo^bI&s)SjEE2#g2R825KFlJut8Z!W3AW7Ko2o1*@%2fiybVX!ggqnTG6*H[D@XJ9lhmrLC[73[#E%4l)%Y7f6])NDE9$3hKXiB@swA9]XtIWsn*WvHJ";7;55;52;347;437.31
470;"sapvu";24;"Vyjd*v5XU2jww]E!l0lp1VPhNO*RcP97c$$[x&WqDSid$K^0[VK6PqPP4r*PreF[(k!atS^mtPRurnJedwYGYl64*qIM#]DkZ4a6QG4x%)^BB@Fyoe03X7MHAFnQc]rgtkSdMp0&rZ*jBGga4T)s2q";6;1;60;348;405.44
471;"pa";94;"XFWUyW3zfbj!Nr2ZlDgT*Yu%T[qs3f5%U6ex7(pbST1^0Veb$%f%luNL(OlUxcFuWBUxEGJ%o[r[W6DXGeKN%asQp&*15@Cl]zGyO9s7[yD1*GQlPGoik*gEW#g70k7EH4TVokRNA(6^4SKV0JKv&&";9;34;79;337;58.17
472;"valuw";91;"6OM8*2xoZuaq$sKPVpIaq5ngNHvmyb]B5b&*ojFlITPok%XrphB](#fDX3v#lHbdXYYxR4DV#9kDkeQ&yizJ%(vJzBz@ohaorp)Dcs7B4!Ul7vI9LQEVCUXYtkmQwBYB]LYF)QZ(&kee7^hT01Qve%";30;3;0;681;364.71
473;"liwuw";45;"MTW7jLG^%%*BiZ[X]Y#F82BT01uUK3G*d7A7ertVOBFPmAGdP#Xz2E*SuvJfxoYHZC%(emsuc%V)6@OjCq&5NeAoTrClRIA4^g%viCzk7UtaoU#wZvgkb6K#N(bAQcnHi%!WF8oZfjCd%b$7AW83Vo";29;30;39;612;449.15
474;"ji";84;"4[Yo^!dO17W(u^t$VR#rk(!qil1CWmkfYvmBvGbx)AgOc!&MvJLLigVBMfdiNTLrhEOlXIoft(8eEpViqLV0g6Nv(%jfZ]TbHTF9jUJBX04fgRNh5haF9@]X9zB1S^XY&&6lDA@a8OqHNcZg@o6ppI";23;33;68;748;383.77
475;"zanlazi";48;"fr5TtymOe3uDyL!9QzU2HL@@82rXm0lT(pYeewm^V9v&#bH]Vz5^ocUNITfwLKEqRG[S[f&s@GMYEiw4O!iFaMHQ3k]gUkmKyew@^o)kgfOcmSkRp5(SYWpC2njb3Zsef45J)4y&T(xZhfnnB&KpDY";14;7;20;259;311.1
476;"vaj";45;"uH^Rm)2UY%s%5zu^[oaqFb^48@YZ)Ed%IczZHE]7#D8e#KLa@VaLEhWJENjs)VX9NT9YaagMt$cS9Pk@Z6SDy3t)9xYFKaUqib!7UslgG#w#qCx(kYC@o1*rhYulzs6yc#3dMJLz9s$*Yo]mX8tS%n";18;28;67;368;302.5
477;"boif";51;"RX@RtNfJ)xp5zC*5fzO^#H!@ro@jgNUfSP@sByJ8KM8oZL4eZHhe&CRgJMm7ns&H@7kAWzOA)c#xci13kLXsfB7mdVzaaj^lVk4tp3foVor2g(3e1b]3&QY8S9UqYaa6ORVp[t4gqm%HKu&c)hMXN[";7;27;79;244;29.95
478;"wad";10;"SKvpG3oLTE)duj4yeaj3l&8FlBkE)gDq$oAdILrfJOK(6mTWDnx1RmfComI(xPpRpZPiTXDDc2ng^f[pnRqG)BA2I8IXf^eHw!#ier]^NF1%i$wMe)FswF]kQJ3*UmnONoCBYoOTFsCGx4ZcOOqiSL";5;16;48;631;73.25
479;"odukocuw";13;"lV6Hd8Hw]kjY7d7y8$6S0JmJ)m8uY7hzhqcBVk3vzXnBqR@H5ochVw83sez[Ty9%cvFdiKV@[biThgu)A2OM@Pi*]eUW@ov4QPsxG[M$^v9RaMdK@Xwvw^y0]3M2!ov2LI(Gw1tu$M3ckgAb#JBC59";0;49;101;963;95.41
480;"doogekuz";36;"#dtAvv31mPh%IG[Gt]cMrWKbdozu2VY3QGGYe2##7cD$yuZ573ADp51YY&ikO43OjOkMcfEcz1AAgB$y8Hab7qmBIKI#fF^p6vjLoP$Je@$75Up@BmdfoDmFpjuoZQ!JovAY$fp@j8AW1^L)0QaiPj";8;42;47;571;90.8
481;"zawohok";38;"d7l*WIlUHzQAcb@VZC*IQEqz&8)N)$T(L!J6eb$3KEj]egV%BC#z*Md05@&$o%Q10ISHLn!g8w5]sDeRq[*YQ2tB@Ovf1PX&05^78$m&Z5Xb6w8MsWAsjvyS(FVzojeXn*F&mts5052f]&5u8V#wnr";20;13;78;435;159.98
482;"hidhaku";44;"c^ONy^mRgEUQ3glZ7jegBKCfwGrc04TjWhC0^Po7x!]%pV#8wmTdsi0f!KCNbCibks(DBtR3(6DE*xt6ILre3jyGqz!J^$vGBIts7aogxR$*2F#*g9Z$Qr&WbSJpi7%CqgL2pd^UwK)00]sSF*7lx4";38;53;49;606;255.3
483;"fato";23;"71e6hA[sMB^QI2a)eYcWcOlFuHL@KPrXAEB2Jgs^Cd%kKm9]FkNV7ykNgkiO$N@v$]h*D&XCAFf8e%$qZeKT9q1r5DA]iXktHQHuII0S0yF^Zql!dWCOuuxGF[cpQ]e]1dwEQ%DaoN5s#hkjcdAVLJ";15;28;46;404;73.36
484;"sin";14;"]c2]7*tWPp9Up^n[SMAx!RPUgs0LLKEWYJMpPRRyhfFW1E6cR]cB6whvcEp3sY[[NuN88k(saCMT)[(Z5sb)@@6(#4@A[qkKWRLrV]7l9aGTP!w3Zbc$w%PphSYU#YDX(fB7(C8i2s(b64PH6M[N1S";35;56;8;537;391.91
485;"lictavtu";92;"7@1)xcT@sWshGh(y@7v[5TkaN%66mf!M6Zfj!!AK7OOr7bEkuiMoGCMu4D1Kh$3)OPd@kv4E#Ifqgj)iKtJu4WCGlyiW8fZ*UyVjLUNyPir#nZ1m86C^nu)^o$mg(rN5GAEMd8SF!92UtgK8!S@s03";24;45;14;191;491.49
486;"vule";13;"vE00MI$d%FX^mb277ZQ4x!QSC3DfiievDgmTE(F6e2F#&z1L1sWA2wpI9HKCO*MpdXw8C*oDwFJL[kcoQshk5Pv$r%nIcfZgD%uEwnUjj&kW3i3e$Ck&y^AThvFLBjFM5WrTOd3(m4t0qTA27OLsCX";44;0;82;811;442.86
487;"wulpo";19;"XL8x)sPAaPD1xytIk*@K]fG]PFG03c8!7H^e5cDC8y[CUo4IvjkBG5tU6&o]QY56RxD7q3yT!68RhCCNw0q%Y&6q54hZ%CU0gYRCXCHFjbjtVzpnjWX2lyaU3Z6ef^wP&3OvMBNv!73%hqKmpoqvu6";1;21;25;87;443.92
488;"wo";8;"9VlBMm9UrtAgLTbg9!i#I!aeskMBe45ebAa^cq3QlrG^v)1jb&as5yNEk^YMAsB*YR8As0wI1Ree5^pQUrG2[2lGrZ#hR4HH8p$f&)gTKjRhKfn^CU)$tArab8(Rw@)2VM*IgnF@!G&tUMqM(Np]u1";36;55;102;937;251.15
489;"umfijil";104;"@6^Uq(ZsgCUk0HMWruHy[6WvUlW7tJ^L5bzuP*vwKZCJBnewH$*xA#9v!3kR&EL*Nc^5hWE7HHx[tuf6J1u2PuQJIkqWJ(!&PPR!*A8^M&[hcaxDIn45IkehnGs)5n^WpuW^iGVgy#vN!95eZY1x$L";12;12;113;477;453.86
490;"aveir";70;"6#FMfM$3HXWf8NRvk3I$r7&I&Scj]zMa2q91$ngRbKNIdG7(Uv7xSTu]wp*j#dqfa05!B5^xSZRZh0LZGB38QhAIZD#pROaj7G0OPjk]O*O4MDBxTRe8qZ$(Q2TeEzLDmL*%1vcVEV)^xq[$]ii4Fj";20;11;3;803;136.94
491;"abkeji";103;"NUo0ps3&0aTPTv3iY^]7R*Z[&KNY%Sr^bQBinrGpJ]dg[Us$Iu*s]%Vxq$VQu74PBz3pN*3cg8b%rADbrw(m3$^%RZt)SWkuaH%2gJWv%Hd9fX&sKQkW!S)8W)TuHP6ZpYGOQZJ6JXecy5ht%9WsMo";35;56;79;358;165.76
492;"peev";31;"hYoNPSToJMRUW8eHo2FijZci)3lts]RTWrFLtC^Z6w5a&KV4sjAL#8hep$]dId9aNqG8r4ck&%VVMdVFPggT8aKFbVIxIAYR14K7VfOkkXk&SLe$g4g*#oRQD(S3p&)OKfY[BTfVUoR5Iv%wrHMzgo";14;33;94;367;209.19
493;"levuta";13;"%[6zN1d8@ndoJS&B*028GZeOm3EDE]yffzDKLJY4IoncoGOuvCG8i8L*AyD$*#@SZf%k@)[CH$c7fj0JoJnKthzAh66Gg88o($ux*yVS^Umru71aa&fyUEXUS$)fRyD]oB0TE#pvJ0CzwTwA7T%Lxt";41;16;68;117;152.78
494;"capejca";46;"F]H83iG6dW5VZlP0oje#lKRdEUEYm[WxOVmiGTu8g$@[G&#&p$UC]dM0ejuxgo#LIRKTtRy&Kc5#ljKTxTZ0Sjv$x[#lTV&WP[DS&*pdQ9C%wnez[#1^jUaym*)W9aZP4U8SypLoB)l#*I9AR3)XVl";35;15;82;376;225.83
495;"forwa";28;"IxALQ8&kJ&dvG&%qCC4Mp@o[KB44U57a8Hp$xSwdwWN3Bz1G#c^X1rsPtf])Dh1nsJ@xn49AuEcG8H3Ha(zU!!^u&kI]$D$(0@Z37eZUeSmwIre]gZ@oq1oL4TWcCSnug#cwzapB8iXcyBDDDhwio)";48;17;63;992;463.82
496;"kiv";14;"U$fnrl^HNjUT2]OReJINBZf#uGiVJfwVk^GgB*(vN&z$xgzcyRLTL(&I8tP9FeK#W1%Mry8]2LaYgyuYzA5*kFk1h3NmL97RdWjm@P4jKEs13mJ0uniEPo&RFUf7s3k75LIEcnyD&8a9*RO!F$MvIB";31;14;39;691;479.26
497;"peac";59;"Ov79cWUivC@iCSY2vzjU[JWWj9C3QFy#cOqggSK0#$%LkzKLcSlBT7$SgA4fi(nmU03x(Lmw6UD]oO9FBp7L*$kBAfVeX6$%5oQf%URJ3gqv*^a*k$ND%UjQ^]2R($fAVNC0&6haSx#Fp$ZZ%ALma^";33;52;1;351;114.82
498;"baja";68;"KBEEFYB]g!Llnv5vI0g@$ea$WfXQ*@ccPN^YN!FVH3Bf5f8twLpGMTWWj]*k#7@H5&Mbn0jwz[9$NxoUgI#Fg1uooRb&zwCq!g5poD)kI$D)1*2uw&q59gatWs(ox)b3HH[kA7fr^y[Pkl)1y3PyX7";30;55;113;181;400.94
499;"kuzohfa";83;"Gk[0ujuKq(r!pg@i1ayobVOyw[5peM8kNoe#f!JGg4[*vy48NdJTT&Ly#SZrDmIqF!eDK]rX79j^cKJv!08xH9E)ngc(ILbif]yC4zg0q8tCI2JTAORA&qKImr)i#*1d4I&r^ud%5c4plxICKbXm&R";34;20;4;384;321.78
500;"je";42;"#X]Aki8xjZRSordc!l#YTDo[q*b46]]zJf&dI9fwu0sqwud*N0t8H!PSj1aIZU7WsOwYE18t&7Yl%ml(c8x0J@bMmJw%7Hn1y4AM0Nk&&sunWJ3bGn]YWVGNzHN%!Ej67%A#UP6^Sh(x^8e#Rxjhts";44;16;40;914;264.58
501;"juv";96;"#@!W]t%fMT%BccCIQqG]vt!br6]3bKyt6UyM5sTM&B!wDdZxx%h0&MLhIqUILgLqz)iZAXyLPiST#oxlejTTzQqZ[c]T(swOqI(HuPITk0mf1d#*yh(gYZLyk2RNQT6m2Wx$hoB$dK*VOoeAL$#FZv";9;13;13;140;60.91
502;"la";91;"E^hFYls*BV&y7AsUBsOs0[7p)fTi#dJXpZZ2t2s(@KN39OtTN)bZ2McTqHznIJ7*HBgurLD([9rwTb##yyo82KOay7oLVy0cAORIPI&qb*@eo^QLv9royR5w!7Kt[kKDl0aSFW$pnoYT18!nA[YN)L";43;34;40;894;52.2
503;"ufapa";13;"7YpxDoQ%G7OVEgl5lYL3(7fMBEwBfNR*Mt$GJW)Zuz7aZ(U$6s!NXCgF!Syke*iu#9q8JCikEkyG*hXCz[HF[Zh3#vrS]]@uBme)UPSlmkQzTG!&T8#oev#z)Znzpo$F@c74v0Xq5LEKEhufovn6l(";34;8;0;763;73.34
504;"li";80;"P^O1sZcsx2a]6MPTdx0)!mFgC&ZeGaGU(Z^ugy(9OoimaPJy&hwHNu@3)m8FFOt)Q#DkECEGqPSTrxvS9&l2E]]DX79B7P0V6aB2&salYikXo]Pz!XgfXQFS2GD5Ww9)eKe$4bOHeW^aa0J3[RycFN";18;16;21;869;47.3
505;"olual";19;"dsjleI*dKGhEeDo#)IHnglw$QbTgxODKzwuNjWUsqCYyOSje[aS)6gSY28B2GPGzU@8Miotk!WSm^c6nm2U0W8Hf%oY$l)2WQK%6YRl0CG5vJ)WXTROMHONZg]JGN$t&ugNw*3lX4sY*i5Q@n0wF6$";7;36;102;368;267.39
506;"rabaap";58;"EG4]kmmziD(l3COgy2LZYzOkcLvB#2dZHgvfC4E#&Jw[C]e&pu6n3c7t@rYxvf!qiJ9KIl^sx^jaXv8yEM8RnyI0]eIfJYDiYUEK(&NnzbLVKNGThuo0JIHq*!7wRlJrauTmhkWpElL^YDlEaQD2*#";10;14;0;215;60.82
507;"de";52;"elg#C&M4&Om$&(b5^kogDQlLv(NvQAO*LHxZ5NBqIIiXa*Vc4PnIOS(]myRVMo*fXfPeVXR9tRF(]I1Mk4[$p0bZsOg6URF*GSu6mSO7F(z5AAlpzvx6kpQFEN^NeKQP%NNVal)1^RLSVQ11I#2J7!";9;23;16;90;30.5
508;"kegizse";33;"(clwF]QaeDRhLmZayJ*TeQvYHTs5sW4!HsyW]HwSyYSnn2VGmDK9cp*frD6(qzZ3vHhcKGULK&^7DqJ^sD[TIU97kpXrg9!O]hS^HPt)1zSC^FCV@313EEOrk&TkzeyoyBniGYR^W&OOlacG4Ak^CT";2;7;11;543;174.56
509;"zomvazpo";63;"XipMLmON#U3HXf9^[T9jl$*JN7Hcpcn0GR^6ZJSR14X@z@]4tIg1urBE6V&CvJuen63ogg69UBgAhbulindbrsZ&^LmtF1@9WFhM&PyCtaXfyxqry*b8$UVk9Hb0s1nywR8b545!n9v!vx7Niy&Bj$";48;10;87;988;91.8
510;"rakme";36;"DI0z2FHv*2b[QHF$NYpP(8bdM&zVzJR^GyaySSRf)g!ZOe8Gqn3kT5*!YNfl4Se7x%mOzvIsG&H(O]j$Pz$5]6GS&OWLRRhJZ!88[6i6An4][MrUdi2ntgUcuKMc99Yf2jqEcg6e]xPd66TnzbXp7L";35;44;22;791;385.91
511;"ked";98;"nEJL!ze$OCT0aj(OfDvxQZMWW&1roLKrTSy3xGzueoAgpnre@3Gqpgn#^#gen^cE%d3A6B6a*UNmJ2q#SN0Yd^f9LE!Z79y8wK89PIB6]g[WV3o$iblY^ZC21ZywC[3PHrXuS)f*9Y()vnhl*QgV1M";29;50;40;700;451.51
512;"ri";13;"ldJA[O&V(wi8)0O^%6eZ1vye[iEAj0b)k8f1BgF8AD)%ox[9Q4rWkUwZ@AtfWE$N%yVDRwhqlaCMNnq%AXIxIj*#ivtfuLwNA^CqumkCWL)eBV&P]L0a@5HzdX&oQUZp)(eT(yg77E#$W8b0fhDg3A";22;33;26;565;401.95
513;"ajtewah";96;"JIm97uFmh*xjMn[M7cb%&DPv(S$s3s1QcHdIw#5Mmy8cI91*oTKntvLFsX&siopvD&G($#*#RmwXa(qDBbIZ6)BZ@1l%ZubfpLudd5]78Tyl1CTat5$d4Jlc^BIU@DXPR*C3SbD5jZlHnZlXZTwj2F";36;18;40;813;131.87
514;"ba";59;"TWo)0Jn*WR$4pLb0I7t]Vl]jclfB#L!n$nH]mukbufO254CzIE275pt#[&3b@W^Ki!QloERC)8XKMo@Tc3(@g@K%Dw7WyKQ2aY6IojPjgdkM1a!#H^s1B*pzFePh8gxQBB0*TcM6OCaOeWyl^$meNR";5;41;110;468;51.53
515;"tuz";102;"vnI%A%jR36l2xqIqFlMCMI472KP@3pqs%L)X&V83hIyG^10jO)h0@TuA2yMqO)!0V@(s#]4Ufj!QobxeW&banBcua#(naSTkWtrfFyij4((j33PSik8s5tA#Nlk$S&UH3@@Z%7sdGO4eh^(rQK75vW";34;55;58;547;472.34
516;"vufuleh";41;"@ObA(QpcpvZF9vnAVb]aAxp8bBqCR!3yN6eY[[]ok2KcXT*mfMrwsFm5gkQ8wm]3AdJRWm3*usIH5AsV]sH2@q1zM%sI&8Ufs@Q5rZ&8O%*358!y$AqH0MD@bc4z!pJiAX%)7CA0L3qE^#(69@2v(j";48;29;36;353;477.57
517;"zaz";47;"gAycdp(DFp#9wHnb!Jew^Le#1dnRFLUGz$dLTQ)g%x6dgnCbCbJG3E@T]!Gy!F[Z#B#0CKtH$uc8rC94xH*Iy!&741)ceH^8Q3rwGM8&5GirTJHStzn8T7u)dr03(BxZ)W)5a5lKLIO(#TjHxLIT)l";43;33;5;264;303.72
518;"guz";98;"&HCQxJbXHVifg5JY2gG(sCL^5^jFfloV35URaLBtD3YNB#^BQ9^hYqQvzi8[*3GuKoFe0&RKhMV$zariLG&8RoIhMHoRQmyA#O2$iOJoq0zuKyZyAGEU3@NyGFwviX#qaYj[wlxK@r&LaQZXl^vGuD";19;45;107;714;454.49
519;"bi";98;"bukUw9Jbtvzh3H$EqcKwo^#rRN!1t!G!LA@wLZ9EbZs(U&wJLmM8(wHkQNevJz$#ZDDfOFtad!pqwN]Xd%N%Pnl5HRemA)ZDSmPO*@6$Au(oTlQBF*C^#fRvV3rAl9av84vU(1NUtKVPZztptjE1sP";38;0;87;513;111.23
520;"wepinme";12;"3mYZLpHD@0coALftRqb03MQEp8IkYA#o7hCibqSnT3JBjWt%(5jPOKf]XvveGlX$h2aykJ9TpH*]anq3wY5ifJ&[3nWsYFgl^pgj&KauoA^k(mfIM9!9Y#F[Jw]1)8#z%5]]OW(h9&eL6FbTMMLKQE";19;50;22;4;431.36
521;"uwati";59;"i0w#yaYl1CpShU24DU[zrkwBf7D0q&Hjce4dhCo%6IsQ%8Xnl4&I)q$]F*wrmUhD21]C^tEX7Pf[TpT]iiTkNcwy)%ai(sDCh*(enM9vOVHgJ5dLI9!t(Dt6OCQoU3NovSLwQsrH#3%sI)n6s]5qjQ";28;16;119;701;26.44
522;"foeja";17;"n525M*sd@2Opwj7%b22s)ataHB^]G%C(WlL!C*Xf$m!Ww$D@yRO*HfPQ0jg@N^ca$)9lW0n^6mKxyGB(af30LC8UR1VnU3sGPXGGJfb1@*(M#mutW93s$jaG*KN8CCmY!m3I#yI]oZPyPvq1iAwgUS";38;52;118;617;297.22
523;"fa";104;"lA6vIsoE(J#g*p$2dm5Q5b2aEsJjPrntOKk2NZ#xZ*2QXEzZyFyV)Su[(Ek!@lz&#dN5Vi#5Kta@78Pri%#tCp#5BeFjgq8yi$eUe#I3M6eh(Eg2]d2hy!h][*(b^vi6*IBS1D6oTeXUL4BYc]Y73v";32;27;91;332;205.14
524;"heno";18;"IerfAAt@*[lnsAW1ACo9S]4bH2nYVt*[PPUAn%S&hshTM1)CUW6PP1q^bMJLaM#4etxsWy48FY7eK^mEwJhj3sp*iMH]BAyG)0ogWVgKAyFXogG@JEs#^xYV3SFGa9wSNVHW[iQ3OV)CkOOZ6vkwby";25;31;74;38;292.83
525;"meipunaj";25;"6911XqCl!92t5yZJWAWa@cnnoZ1zrmuC^LJfT)&zxeMlp1VcXI$p36Ew3JdSXayF]^)v4@oejnUTUBHEU&QnyPIlf^MQn5uWqa6dO1PSvMwfLk9KVm)Wa(YtDw&)CAwUpXtUXrxMn$S]jr1OI@v8o$";24;24;27;740;139.38
526;"ofuke";58;"PtL0[i*5PCAOVroaGp1K7DXZPJwQ6tesTlRfIM!n4&#zEg)tG^^&tZf4byHf*SfJomq4hjWJaOIt@*me^]b91c)JcHSp#uS3dXBy7dDra#gBhtE)Ffw^i556K*]Q8E@YqIUn9rctGIRIv5)Uukt@VO";4;36;62;414;3.4
527;"anual";80;"4A!cg!IfJ&fga1#^2MuxBS*UH&0T[*LdEw)UA[VV^W0zJBeGTymHZJgOuR@w!VF$yf2OPuPpRXICqk*QW1Lir61nJ&Q#M]6f$E*Ivkxi1)uSGqS(PVSLDwU%Bi^)76opfSw%&rjJKpG#Suj94dAYJU";38;46;49;930;216.64
528;"zof";73;"SYPUKJV@^MAu6m1OJ5jkmy6z55Yc*L^oB*J$yS^eQc284hmOVVv3ofQiFC^oFUh2Kxq7mRY([02wT6)wG##T14V4a#%k(OtdZ*Cd*6iCq]wAuv5ijYP8kZL5RZYx#sZlG*YCPSnrwnR2GP8g))Pa^]";49;44;109;930;218.57
529;"jav";39;"5Rj$77ks5tM3Q(#CuhuiZ0ZWmS@^!TSeRJFDafFhl1NyeTpM^)vMFHao8HmoE)T^Jx&lwg)gj6$0GXNH%h%%[ewiBWNL*jlhw5NYU!ssQ]s1]X5UfmM4P3JYHB&66T%kMce#xcVht0^dy]GyZ%w1G7";7;35;84;270;231.85
530;"zak";100;"AQBmPfKa)vE%Yo5kQCiqP)(QvLNMkc3!c%iKa3T1%^MG]g#4zpKUbKpTSR#B!A!ARy34dDY4AyadaPCR3&AQbi#]9LT*Vd34x%kZo*5bU[nqfE&RO8s)T0$vbX(@glC)bRQU@sElime$ZmcE0hrh7C";37;26;90;664;157.52
531;"em";13;"eqLOtdyVdYGtm%iwM1P5MtHEukSNNHOoE4E@GdTsfmu271ogPjx8K&YnUPsLElvq@d2iQVkNdy1vM[ISGLTI51KTfC9#bHQfxAdiHSdmPVMrFEIQ8A6q0!d&l%L977KXJoE$g96(2nFu^J]hW9rAu^";33;49;53;552;241.9
532;"ji";93;"gzLBU4W5XAUlFiHuzSeSPYMozj(AJIDKQ0kfGnAg%rq[W[NFassugE&bzFSVf6A0mhQ3a0$Z3opDw[f1AsISIY4qrfdmbVa!p%tUoAjk0fePHAVhgD1VsvcLN@EUthFMJC#5t3H]xt9NbsF)1j*5Ir";46;58;4;227;424.8
533;"haamiare";37;"O]una%xBBGvLjZk&1ji6CchH2%ijvFT6Q!)t&j1l!C4YHH)8HKGTkHh(QRyio!Yn^qzRBbkEFAANXz(Jhh9Ru%0kIn0F3k7eGRPZ&okEF22SS4ksvLE^9PX$D5okK$mYXtZnpiP@G9xtZZOua4G5yL";30;50;109;482;333.15
534;"bekhisa";63;"tcfFo5LYa3cSUVo^OQByLy2Cv]cq]fByEEn9e7s4u0y55^Sxwk]Yc[A@XoN0hs8ipaOZLE3VazugM5A1m19eeK%YzQq&z&PV4vbhbGoLfOC**xZ2%LhpgAgGxfwKseb56Od&oT4aD[fINcSYYL#*mf";21;37;37;16;108.37
535;"mopled";32;"0wv4HmDryd5tw2DHlqqU7AgrZbmrUk6nGyU7ZszFWMR^dIE9KSgvP3#2XhqVqDc48rYs4Oe&BK!(Tp5ZQRhHqV8@mNBGBFQNo7PTc0Y*lEmJItyez@^6)^pQ4etX*nRIMzF20p7$THhkx$YUw1aI92";40;0;88;981;179.82
536;"cusub";13;"rQe8lV^z]!19Cu$1hp94B!y#vo9rgv)qp!&155Ygm!ZxK0m3t(L5O&Q1UpkGyvWV4]C]i(^yDrFm2LlZ#GY4Aj%mKZvb^(8YFxoM%YI9Vt19ggik#zwgRHWSh*DoLgp73mIGbq4#*LIHs]vJH]Ys2p";2;23;82;25;142.4
537;"rorav";83;"zm)WvC7SczJ*pE8a34v$6DDUAe6ReDLr$ELpgw%Hu15CEimZpEo4hPADw4tWMfzBnLTYnsQvTkNWmLokR8CuWR[K(Me1B4CjyGj3VMPRp9z&J9MBijun8pQeAhEQ$0RiHV4l02dY^I$DQSTRDchzkd";14;53;3;593;324.19
538;"pod";39;"i)FWysL$rK^u31A0p%]%NwLEEmJ**#utkMUsYBdpNDAy3[4bcd)31!wfvwL5ZxM7vSwR4qWASlp&78X3KR(BX3zgWObHNGy#hottZC2LiL^TgvT#L7f58ciB72d$J9R!nK4S)UMrtApd![je6Ed5Q]";1;28;5;480;194.16
539;"roksoc";60;"W@S)n$w8)t[nc9PVCFMzaHo7nX*3WhJrEnggm0L6F@loGAU8(mQhtYS$rm3GLunPkdk@nb0vVPFHoWlT%t50qtZ%&g85&(nvrk*M(jaRBLn!tLorzyIhDY)BOtbZL%O*vSj!ggX6&m]AGG*[j3j(fO";46;40;16;30;190.37
540;"diruwpil";51;")@JNo!cFY%wxtF$c(FZ#K@@SCOGgsA]E5Dd1g%*#Z@@%Ki%*VbGS)oOU1C0HUT(YcOMy$DpSgUncoOgbMQa])^b6GWzDNcqOk%AEPa4LG)$gCBJCpGnUrd*iHzQCMwUPrR]m&j*3v3DK)Y7I2!x7^!";27;33;14;451;182.19
541;"capuni";26;"Yrn%iEtDTwHlJfi6oaul5BKV)QrzHYl)m6GeYcJEkM@w44YDJcq1idufbxy2Xth&pjwJR0oprBUZf)$^V3V8NU]&[CFRkwv5]A*kLCfeLetxJCEPEJ1]qAQN6#78KVBk(RQ]tp*VAh]W3@9iYxUnrM";21;46;42;683;116.46
542;"owedilo";99;"%1Vj*P)J(^]%55b%MpTF8mC6P!OTZ9[d#*R8G!]IeoUSgI[kIA4#cw&5Rd3z!6gHXyL38dxI(TMGi(vpCI!DV031LBwL6^s!UE!nFub@5]WLiv8jdR616v4MRdqnY1$QU*DKR2%f6rVOah^ZkeEbVt";45;45;85;802;67.56
